"id","name","desc","is_root","is_enable","parent_id","level"
1,技术,,1,1,267,1
2,金融,,1,1,267,1
3,房地产/建筑,,1,1,267,1
4,供应链/物流,,1,1,267,1
5,影视/传媒,,1,1,267,1
6,生活服务,,1,1,267,1
7,销售,,1,1,267,1
8,人事/行政/党群,,1,1,267,1
267,root,,1,1,267,0
1873,财务/法务,,1,1,267,1
1874,电子/通信/半导体,,1,1,267,1
1875,产品,,1,1,267,1
1876,设计,,1,1,267,1
1877,游戏,,1,1,267,1
1878,运营/客服,,1,1,267,1
1879,市场,,1,1,267,1
1880,项目管理,,1,1,267,1
1881,高级管理,,1,1,267,1
1882,采购/贸易,,1,1,267,1
1883,汽车,,1,1,267,1
1884,生产制造,,1,1,267,1
1885,能源/环保,,1,1,267,1
1886,农/林/牧/渔,,1,1,267,1
1887,医疗健康,,1,1,267,1
1888,教育培训,,1,1,267,1
1889,咨询/翻译/法律,,1,1,267,1
1890,管培生/非企业从业者,,1,1,267,1
1891,房地产销售,,0,1,7,2
1892,外贸销售,,0,1,7,2
1893,金融销售,,0,1,7,2
1894,医疗销售,,0,1,7,2
1895,汽车销售,,0,1,7,2
1896,广告/会展销售,,0,1,7,2
1897,教培销售,,0,1,7,2
1898,服务业销售,,0,1,7,2
1899,销售工程师,,0,1,7,2
1900,其他销售,,0,1,7,2
1901,销售管理,,0,1,7,2
1902,商务拓展,,0,1,7,2
1903,销售行政,,0,1,7,2
1904,人力资源,,0,1,8,2
1905,行政,,0,1,8,2
1906,文员/助理,,0,1,8,2
1907,档案管理,,0,1,8,2
1908,党群/工会,,0,1,8,2
1909,财务,,0,1,1873,2
1910,合规风控/法务,,0,1,1873,2
1911,后端开发,,0,1,1,2
1912,前端开发,,0,1,1,2
1913,移动研发,,0,1,1,2
1914,数据,,0,1,1,2
1915,人工智能/算法,,0,1,1,2
1916,IT技术管理,,0,1,1,2
1917,测试,,0,1,1,2
1918,运维,,0,1,1,2
1919,售前/售后/技术支持,,0,1,1,2
1920,半导体/芯片,,0,1,1874,2
1921,电子/电路,,0,1,1874,2
1922,电气/仪器/自动化,,0,1,1874,2
1923,通信,,0,1,1874,2
1924,硬件,,0,1,1874,2
1925,互联网产品经理,,0,1,1875,2
1926,其他产品经理,,0,1,1875,2
1927,视觉/交互设计,,0,1,1876,2
1928,动画动效设计,,0,1,1876,2
1929,建筑/室内设计,,0,1,1876,2
1930,工业设计,,0,1,1876,2
1931,广告设计,,0,1,1876,2
1932,服装/纺织设计,,0,1,1876,2
1933,其他设计,,0,1,1876,2
1934,游戏策划/制作,,0,1,1877,2
1935,游戏设计,,0,1,1877,2
1936,游戏开发/测试,,0,1,1877,2
1937,游戏推广/运营,,0,1,1877,2
1938,电商运营,,0,1,1878,2
1939,新媒体运营,,0,1,1878,2
1940,网络/网站运营,,0,1,1878,2
1941,互联网运营,,0,1,1878,2
1942,业务运营,,0,1,1878,2
1943,运营管理,,0,1,1878,2
1944,数据分析,,0,1,1878,2
1945,客户服务,,0,1,1878,2
1946,市场营销/推广,,0,1,1879,2
1947,市场调研,,0,1,1879,2
1948,策划,,0,1,1879,2
1949,广告,,0,1,1879,2
1950,公关媒介,,0,1,1879,2
1951,品牌,,0,1,1879,2
1952,会展会务,,0,1,1879,2
1953,IT项目管理,,0,1,1880,2
1954,其他项目管理,,0,1,1880,2
1955,项目管理,,0,1,1880,2
1956,高级管理职位,,0,1,1881,2
1957,房地产规划开发,,0,1,3,2
